File Name:	PMMA_CN_6mm_60Kmin_4mg_R1.txt	Version: 8.3.7.3						
Date:	02 Aug 2024							
Operator:	-							
Test ID:	PMMA_CN_6mm_4mg_60K_R1							
Sample ID:	PMMA_6mm_4mg_R1							
Sample Mass (mg):	4.0500							
Sample Cup Mass (mg):	184.4700							
End Total Mass (mg):								
Heating Rate (C/s):	1.0000							
Combuster Temperature (C):	900.0							
N2 Flow Rate (cc/min):	80.0							
O2 Flow Rate (cc/min):	20.0							
Calibration File:	Coeff.txt							
T Correction Coefficients:	0.308738730	0.013615500	0.000000000					
Time Shift (s):	10.0							
Pre-Test Comments:								
Post-Test Comments:								
Baseline Flow:	99.761							
Baseline O2:	20.276							
Instrument ID:	2700							
----------exported parameters----------
Date:	07 Okt 2024
T Onset (°C):	297.104
T Burn (°C):	417.034
Peak Temperature (°C):	386.719
Heating Rate (°C/s):	1.0101234347045651
FGC (kJ/(gK)):	6.725926549441123
HR Capacity (J/g-K):	TODO
152.502	217.327	80.052	19.997	100.265	-0.059896099807133396	6.823984818991348	1.007	899.346
153.002	217.8	80.054	19.998	100.267	-0.05907096547889168	6.817389516522488	0.964	899.324
153.501	218.357	80.055	19.998	100.26	-0.05524548141930552	6.5697854046585675	1.031	899.351
154.001	218.844	80.052	19.997	100.253	-0.0614203470910617	6.986190102189708	1.043	899.376
154.501	219.383	80.052	19.997	100.249	-0.05959521276281521	6.839594799720849	1.026	899.322
155.001	219.875	80.056	19.996	100.248	-0.05977007843457116	6.80699949725199	1.032	899.352
155.501	220.382	80.054	19.995	100.244	-0.059944944106327114	6.79940419478313	0.998	899.332
156.001	220.861	80.055	19.996	100.247	-0.060119809778083066	6.819808892314271	0.986	899.346
156.501	221.394	80.057	19.995	100.247	-0.0592946754498378	6.742213589845412	1.012	899.356
157.002	221.876	80.056	19.996	100.247	-0.06146989085293697	6.922627096771615	1.014	899.361
157.502	222.396	80.055	19.997	100.244	-0.05764475652469514	6.612031794302756	1.003	899.363
158.001	222.905	80.054	19.996	100.244	-0.057819272465106764	6.692427682438835	1.029	899.362
158.501	223.383	80.053	19.996	100.244	-0.058994138136860386	6.739832379969975	0.986	899.369
159.001	223.895	80.056	19.997	100.246	-0.05916900380861634	6.789237077501116	0.99	899.374
159.501	224.378	80.054	19.997	100.248	-0.05634386948037218	6.609641775032257	0.995	899.364
